(0, 1, 0)	1	0	44356	106474	14	13
(1, 0, 0)	1	0	396341	286881	24	23
(0, 2, 0)	1	0	179815	313084	21	20
(2, 0, 0)	2	0	618207	336917	33	33
(0, 3, 0)	1	0	47865	95868	12	11
(3, 0, 0)	1	0	143738	213518	22	21
(0, 4, 0)	1	0	66285	287029	15	14
(4, 0, 0)	2	0	822184	399429	27	27
(0, 5, 0)	1	0	220982	124155	23	22
(5, 0, 0)	2	0	383070	367811	25	25
(0, 6, 0)	1	0	188341	356899	25	24
(6, 0, 0)	2	0	162033	83485	13	13
(0, 7, 0)	1	0	172120	521187	21	20
(7, 0, 0)	2	0	801479	272088	26	26
(0, 8, 0)	1	0	115241	579133	23	22
(8, 0, 0)	1	0	746062	761032	31	30
(0, 9, 0)	1	0	56966	334205	12	11
(9, 0, 0)	2	0	704270	450240	25	25
(0, 10, 0)	1	0	155012	481842	24	23
(10, 0, 0)	1	0	492211	444903	30	29
(0, 11, 0)	1	0	56475	298021	14	13
(11, 0, 0)	2	0	257664	181881	14	14
(0, 12, 0)	1	0	56956	122651	12	11
(12, 0, 0)	2	0	290267	123450	21	21
(0, 13, 0)	1	0	227850	743312	20	19
(13, 0, 0)	2	0	606204	106545	11	11
(0, 14, 0)	1	0	152260	303100	17	16
(14, 0, 0)	2	0	357462	204671	21	21
(0, 15, 0)	1	0	23573	5292	3	2
(15, 0, 0)	2	0	7157	626	3	3
(0, 16, 0)	1	4	974119	962967	109	108
(16, 0, 0)	2	0	466143	325623	26	26
(1, 2, 0)	1	0	295034	416601	25	24
(2, 1, 0)	1	0	411798	154465	21	20
(1, 3, 0)	1	0	180001	161729	18	17
(3, 1, 0)	2	0	420962	441319	31	31
(1, 4, 0)	1	0	93984	321365	14	13
(4, 1, 0)	2	0	625745	234412	22	22
(1, 5, 0)	1	0	235843	88418	20	19
(5, 1, 0)	2	0	430883	290356	26	26
(1, 6, 0)	1	0	513504	444457	27	26
(6, 1, 0)	2	0	166941	91904	13	13
(1, 7, 0)	1	0	191270	517785	25	24
(7, 1, 0)	2	0	805350	372511	31	31
(1, 8, 0)	2	0	504221	792372	41	41
(8, 1, 0)	1	0	429068	234308	12	11
(1, 9, 0)	1	0	139296	270850	12	11
(9, 1, 0)	2	0	677515	272981	25	25
(1, 10, 0)	0	0	995091	989220	110	109
(10, 1, 0)	1	0	267775	191519	20	19
(1, 11, 0)	1	0	407055	418137	24	23
(11, 1, 0)	2	0	724815	385929	28	28
(1, 12, 0)	1	0	141450	91777	9	8
(12, 1, 0)	2	0	231844	137632	14	14
(1, 13, 0)	1	0	441907	879670	27	26
(13, 1, 0)	2	0	579089	45579	15	15
(1, 14, 0)	1	0	224247	541248	19	18
(14, 1, 0)	2	0	144447	290628	22	22
(1, 15, 0)	1	0	30287	5119	3	2
