(0, 1, 0)	1	0	108904	166359	42	41
(1, 0, 0)	2	0	43895	10361	10	10
(0, 2, 0)	2	0	59927	24448	15	15
(2, 0, 0)	2	0	14478	16157	17	17
(0, 3, 0)	2	0	29538	17789	19	19
(3, 0, 0)	2	0	61545	78303	24	24
(0, 4, 0)	2	0	125803	963	35	35
(4, 0, 0)	2	0	65	20876	12	12
(0, 5, 0)	2	0	44272	54191	17	17
(5, 0, 0)	2	0	151123	58641	20	20
(0, 6, 0)	2	0	47763	12190	16	16
(6, 0, 0)	2	0	16068	35183	17	17
(0, 7, 0)	1	0	32470	5452	7	6
(7, 0, 0)	2	0	16295	31476	21	21
(0, 8, 0)	1	0	53735	15987	14	13
(8, 0, 0)	2	0	16706	13901	12	12
(0, 9, 0)	1	0	141885	239	39	38
(9, 0, 0)	1	0	108	68111	17	16
(0, 10, 0)	1	0	28142	179977	9	8
(10, 0, 0)	1	0	173000	33477	9	8
(0, 11, 0)	1	0	38076	30	15	14
(11, 0, 0)	2	0	36	33096	14	14
(0, 12, 0)	1	0	75787	103663	28	27
(12, 0, 0)	2	0	57056	13751	15	15
(0, 13, 0)	1	0	55835	11962	20	19
(13, 0, 0)	2	0	5889	29942	9	9
(0, 14, 0)	1	0	29105	5932	12	11
(14, 0, 0)	2	0	11003	57279	18	18
(0, 15, 0)	1	0	35520	130	19	18
(15, 0, 0)	2	0	119	32496	10	10
(1, 2, 0)	2	0	144711	29809	23	23
(2, 1, 0)	2	0	30873	129713	24	24
(1, 3, 0)	1	0	102621	23427	17	16
(3, 1, 0)	2	0	32070	59842	11	11
(1, 4, 0)	1	0	52899	818	11	10
(4, 1, 0)	2	0	46	30106	8	8
(1, 5, 0)	1	0	70928	90056	14	13
(5, 1, 0)	1	0	54047	53526	12	11
(1, 6, 0)	1	0	32964	10241	9	8
(6, 1, 0)	2	0	16974	73741	16	16
(1, 7, 0)	1	0	21353	6051	8	7
(7, 1, 0)	2	0	10844	51197	11	11
(1, 8, 0)	1	0	113145	20361	19	18
(8, 1, 0)	2	0	14535	34175	10	10
(1, 9, 0)	1	0	70498	53	11	10
(9, 1, 0)	2	0	58	43105	8	8
(1, 10, 0)	1	0	78560	179762	9	8
(10, 1, 0)	1	0	136914	42785	8	7
(1, 11, 0)	1	0	67487	11	12	11
(11, 1, 0)	2	0	77	43153	8	8
(1, 12, 0)	1	0	110010	85808	20	19
