(0, 1, 0)	1	0	17293	158	25	24
(1, 0, 0)	1	0	114	9699	15	14
(0, 2, 0)	2	0	6415	40427	10	10
(2, 0, 0)	2	0	117612	17950	20	20
(0, 3, 0)	1	0	31795	31507	48	47
(3, 0, 0)	2	3	133245	130709	196	195
(0, 4, 0)	1	0	17977	8021	26	25
(4, 0, 0)	2	0	797	4143	6	6
(0, 5, 0)	2	0	10756	256	16	16
(5, 0, 0)	1	0	42669	15089	24	23
(0, 6, 0)	2	0	6944	40237	10	10
(6, 0, 0)	1	0	41863	5760	9	8
(0, 7, 0)	1	0	11648	11104	14	13
(7, 0, 0)	2	0	12634	9119	14	14
(0, 8, 0)	2	0	7427	2393	10	10
(8, 0, 0)	2	0	1749	5578	9	9
(0, 9, 0)	1	0	6691	6718	10	9
(9, 0, 0)	2	0	8683	7212	11	11
(0, 10, 0)	1	0	6250	53	9	8
(10, 0, 0)	2	0	64	6673	9	9
(0, 11, 0)	1	0	15722	26226	22	21
(11, 0, 0)	2	0	16001	7251	12	12
(0, 12, 0)	1	3	2912	10051	4	4
(12, 0, 0)	2	4	20863	4461	7	7
(1, 2, 0)	2	0	68	64904	12	12
(2, 1, 0)	2	0	59287	97	10	10
(1, 3, 0)	1	3	1485	132429	194	194
(3, 1, 0)	1	0	20107	148	29	28
(1, 4, 0)	1	0	76	769	8	7
(4, 1, 0)	2	0	3557	141	20	20
(1, 5, 0)	1	0	106	2773	14	13
(5, 1, 0)	1	0	4238	138	19	18
(1, 6, 0)	1	0	94	64158	15	14
(6, 1, 0)	1	0	148675	281	38	37
(1, 7, 0)	2	0	449	65276	77	77
(7, 1, 0)	2	0	31356	250	26	26
(1, 8, 0)	1	0	93	2619	12	11
(8, 1, 0)	2	0	1666	73	8	8
(1, 9, 0)	1	0	40	1843	4	3
(9, 1, 0)	1	0	6183	100	8	7
(1, 10, 0)	1	0	76	130	8	7
(10, 1, 0)	2	0	57	74	8	8
(1, 11, 0)	1	0	77	6540	6	5
(11, 1, 0)	2	0	15296	92	12	12
(1, 12, 0)	1	3	16	9485	3	3
(12, 1, 0)	2	3	8578	25	3	2
(2, 3, 0)	1	0	176307	45052	76	75
(3, 2, 0)	2	0	6630	39005	10	10
(2, 4, 0)	2	0	61867	1240	7	7
(4, 2, 0)	2	0	2017	32940	12	12
(2, 5, 0)	2	4	81059	2808	11	11
(5, 2, 0)	2	0	354	26067	10	10
(2, 6, 0)	2	0	62697	26156	8	8
(6, 2, 0)	1	0	27915	54554	8	7
(2, 7, 0)	2	0	62634	6291	8	8
(7, 2, 0)	1	0	7758	59749	10	9
(2, 8, 0)	1	0	101387	8592	26	25
(8, 2, 0)	1	0	3705	68778	15	14
(2, 9, 0)	1	0	32859	3681	6	5
(9, 2, 0)	2	0	2737	24819	4	4
(2, 10, 0)	1	0	53608	100	11	10
(10, 2, 0)	2	0	162	80138	16	16
(2, 11, 0)	1	0	17301	3859	4	3
(11, 2, 0)	2	0	6370	35352	5	5
(2, 12, 0)	1	0	21413	8936	4	3
(12, 2, 0)	2	4	22377	40943	6	6
(3, 4, 0)	2	0	8827	3027	14	14
(4, 3, 0)	2	0	2209	8209	13	13
(3, 5, 0)	1	0	29031	368	42	41
(5, 3, 0)	2	0	238	8196	10	10
(3, 6, 0)	0	0	124040	151059	197	197
(6, 3, 0)	2	0	149760	51966	84	84
(3, 7, 0)	1	0	40894	48880	60	59
